MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924801,0.2290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.0110000,0.0189747,0.0274003,-0.2293911
MsgID.LOCAL_VELOCITY,8.0110000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924816,0.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.2610000,0.1819862,0.0821799,-0.2348731
MsgID.LOCAL_VELOCITY,8.2610000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924811,0.2270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.5110000,0.1257690,-0.1295205,-0.2272392
MsgID.LOCAL_VELOCITY,8.5110000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924812,0.2090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.7610000,0.1382812,0.0010279,-0.2091050
MsgID.LOCAL_VELOCITY,8.7610000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924795,0.1780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.0110000,-0.0509592,-0.1143578,-0.1781751
MsgID.LOCAL_VELOCITY,9.0110000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924789,0.1460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.2610000,-0.1180422,-0.1272392,-0.1462875
MsgID.LOCAL_VELOCITY,9.2610000,-0.0000001,0.0000053,0.0000115
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924799,0.1090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.5110000,-0.0024973,0.0185187,-0.1097752
MsgID.LOCAL_VELOCITY,9.5110000,-0.0000227,-0.0000069,0.0000096
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924801,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.7610000,0.0136316,0.0664378,-0.0829692
MsgID.LOCAL_VELOCITY,9.7610000,-0.0000049,0.0000007,0.0000110
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924803,0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.0110000,0.0361343,0.0013188,-0.0629002
MsgID.LOCAL_VELOCITY,10.0110000,-0.0000148,-0.0000108,0.0000111
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924796,0.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.2610000,-0.0439113,-0.0002688,-0.0567650
MsgID.LOCAL_VELOCITY,10.2610000,0.0000053,-0.0000117,0.0000129
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.5120000,-0.0084440,-0.0005891,-0.0622811
MsgID.LOCAL_VELOCITY,10.5120000,0.0000064,0.0000057,0.0000020
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924800,0.0750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.7620000,0.0000145,-0.0005892,-0.0755411
MsgID.LOCAL_VELOCITY,10.7620000,-0.0000047,-0.0000192,0.0000058
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924800,0.0950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.0120000,0.0000987,-0.0000773,-0.0958444
MsgID.LOCAL_VELOCITY,11.0120000,-0.0000337,0.0000004,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,0.1140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.2620000,-0.0002188,-0.0005604,-0.1142120
MsgID.LOCAL_VELOCITY,11.2620000,0.0000133,-0.0000079,0.0000178
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924799,0.1310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.5120000,-0.0002195,-0.0380105,-0.1317992
MsgID.LOCAL_VELOCITY,11.5120000,0.0000074,-0.0000000,0.0000130
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924802,0.1420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.7620000,0.0317155,-0.0865948,-0.1421608
MsgID.LOCAL_VELOCITY,11.7620000,-0.0000131,-0.0000221,0.0000187
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924815,0.1490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.0120000,0.1688783,-0.0402302,-0.1497808
MsgID.LOCAL_VELOCITY,12.0120000,0.0000056,-0.0000035,0.0000216
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924813,0.1570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.2620000,0.1516707,-0.1533567,-0.1571622
MsgID.LOCAL_VELOCITY,12.2620000,0.0000064,-0.0000056,0.0000185
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924807,0.1710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.5120000,0.0802462,-0.1454078,-0.1711703
MsgID.LOCAL_VELOCITY,12.5120000,0.0000246,-0.0000114,0.0000164
MsgID.LOCAL_POSITION,12.7620000,0.0890922,0.0903727,-0.1890777
MsgID.LOCAL_VELOCITY,12.7620000,-0.0000201,-0.0000199,0.0000231
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924808,0.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
